Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Category,Delivery_Risk,Distance_km,Pickup_Delay_Minutes,Rush_Hour,Order_Hour
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00,Sunny,High ,motorcycle ,Urban ,Clothing,,,,,
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00,Stormy,Jam ,scooter ,Metropolitian ,Electronics,,,,,
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,08:30:00,08:45:00,Sandstorms,Low ,motorcycle ,Urban ,Sports,,,,,
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,Cosmetics,,,,,
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00,Cloudy,High ,scooter ,Metropolitian ,Toys,,,,,
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00,Cloudy,Jam ,motorcycle ,Urban ,Toys,,,,,
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,Fog,Jam ,scooter ,Metropolitian ,Toys,,,,,
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,Snacks,,,,,
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00,Stormy,Jam ,motorcycle ,Metropolitian ,Electronics,,,,,
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00,Fog,Jam ,motorcycle ,Metropolitian ,Toys,,,,,
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14:55:00,15:05:00,Stormy,High ,motorcycle ,Metropolitian ,Cosmetics,,,,,
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17:30:00,17:40:00,Sandstorms,Medium ,scooter ,Metropolitian ,Shoes,,,,,
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,09:20:00,09:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,Apparel,,,,,
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19:50:00,20:05:00,Fog,Jam ,scooter ,Metropolitian ,Jewelry,,,,,
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20:25:00,20:35:00,Sandstorms,Jam ,van,Metropolitian ,Outdoors,,,,,
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,Windy,High ,scooter ,Metropolitian ,Grocery,,,,,
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20:30:00,20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,Cosmetics,,,,,
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,20:40:00,20:50:00,Cloudy,Jam ,motorcycle ,Metropolitian ,Snacks,,,,,
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21:15:00,21:30:00,Windy,Jam ,motorcycle ,Urban ,Jewelry,,,,,
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20:20:00,20:25:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,Toys,,,,,
