Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Category,Delivery_Risk,Distance_km,Pickup_Delay_Minutes,Rush_Hour,Order_Hour
37,4.9,22.745049,75.892471,22.765049,75.912471,1900-01-01 11:30:00,1900-01-01 11:45:00,Sunny,High,motorcycle,Urban,Clothing,MEDIUM,3.0251492856773803,15.0,0,11
34,4.5,12.913041,77.683237,13.043041,77.813237,1900-01-01 19:45:00,1900-01-01 19:50:00,Stormy,Jam,scooter,Metropolitian,Electronics,HIGH,20.18352972873287,5.0,1,19
23,4.4,12.914264,77.6784,12.924264,77.6884,1900-01-01 08:30:00,1900-01-01 08:45:00,Sandstorms,Low,motorcycle,Urban,Sports,MEDIUM,1.5527578022553539,15.0,1,8
38,4.7,11.003669,76.976494,11.053669,77.026494,1900-01-01 18:00:00,1900-01-01 18:10:00,Sunny,Medium,motorcycle,Metropolitian,Cosmetics,MEDIUM,7.790401360105807,10.0,1,18
32,4.6,12.972793,80.249982,13.012793,80.289982,1900-01-01 13:30:00,1900-01-01 13:45:00,Cloudy,High,scooter,Metropolitian,Toys,MEDIUM,6.210137965623703,15.0,0,13
22,4.8,17.431668,78.408321,17.461668,78.438321,1900-01-01 21:20:00,1900-01-01 21:30:00,Cloudy,Jam,motorcycle,Urban,Toys,LOW,4.610365144356333,10.0,0,21
33,4.7,23.369746,85.33982,23.479746,85.44982,1900-01-01 19:15:00,1900-01-01 19:30:00,Fog,Jam,scooter,Metropolitian,Toys,HIGH,16.600361127913082,15.0,1,19
35,4.6,12.352058,76.60665,12.482058,76.73665,1900-01-01 17:25:00,1900-01-01 17:30:00,Cloudy,Medium,motorcycle,Metropolitian,Snacks,MEDIUM,20.20525323529313,5.0,1,17
22,4.8,17.433809,78.386744,17.563809,78.516744,1900-01-01 20:55:00,1900-01-01 21:05:00,Stormy,Jam,motorcycle,Metropolitian,Electronics,HIGH,19.97552008622187,10.0,1,20
36,4.2,30.327968,78.046106,30.397968,78.116106,1900-01-01 21:55:00,1900-01-01 22:10:00,Fog,Jam,motorcycle,Metropolitian,Toys,HIGH,10.280582064622465,15.0,0,21
21,4.7,10.003064,76.307589,10.043064,76.347589,1900-01-01 14:55:00,1900-01-01 15:05:00,Stormy,High,motorcycle,Metropolitian,Cosmetics,HIGH,6.242318682700942,10.0,0,14
23,4.7,18.56245,73.916619,18.65245,74.006619,1900-01-01 17:30:00,1900-01-01 17:40:00,Sandstorms,Medium,scooter,Metropolitian,Shoes,MEDIUM,13.787860239172238,10.0,1,17
34,4.3,30.899584,75.809346,30.919584,75.829346,1900-01-01 09:20:00,1900-01-01 09:30:00,Sandstorms,Low,motorcycle,Metropolitian,Apparel,LOW,2.930257800762021,10.0,1,9
24,4.7,26.463504,80.372929,26.593504,80.502929,1900-01-01 19:50:00,1900-01-01 20:05:00,Fog,Jam,scooter,Metropolitian,Jewelry,HIGH,19.39661829066188,15.0,1,19
29,4.5,19.176269,72.836721,19.266269,72.926721,1900-01-01 20:25:00,1900-01-01 20:35:00,Sandstorms,Jam,van,Metropolitian,Outdoors,HIGH,13.763977224427299,10.0,1,20
35,4.0,12.311072,76.654878,12.351072,76.694878,1900-01-01 14:55:00,1900-01-01 15:10:00,Windy,High,scooter,Metropolitian,Grocery,MEDIUM,6.218001190187312,15.0,0,14
33,4.2,18.592718,73.773572,18.702718,73.883572,1900-01-01 20:30:00,1900-01-01 20:40:00,Sandstorms,Jam,motorcycle,Metropolitian,Cosmetics,HIGH,16.849939918016943,10.0,1,20
34,4.9,17.426228,78.407495,17.496228,78.477495,1900-01-01 20:40:00,1900-01-01 20:50:00,Cloudy,Jam,motorcycle,Metropolitian,Snacks,HIGH,10.757108800258175,10.0,1,20
21,4.7,22.552672,88.352885,22.582672,88.382885,1900-01-01 21:15:00,1900-01-01 21:30:00,Windy,Jam,motorcycle,Urban,Jewelry,MEDIUM,4.540574388730574,15.0,0,21
25,4.1,18.563934,73.915367,18.643935,73.995367,1900-01-01 20:20:00,1900-01-01 20:25:00,Sandstorms,Jam,motorcycle,Metropolitian,Toys,HIGH,12.25607644546856,5.0,1,20
31,4.7,23.357804,85.325146,23.487804,85.455146,1900-01-01 22:30:00,1900-01-01 22:45:00,Sandstorms,Low,van,Metropolitian,Books,MEDIUM,19.61873934880106,15.0,0,22
37,5.0,11.003669,76.976494,11.013669,76.986494,1900-01-01 08:15:00,1900-01-01 08:30:00,Sandstorms,Low,motorcycle,Metropolitian,Clothing,MEDIUM,1.5581322655562497,15.0,1,8
33,4.3,12.986047,80.218114,13.116047,80.348114,1900-01-01 19:30:00,1900-01-01 19:45:00,Windy,Jam,scooter,Metropolitian,Snacks,HIGH,20.18063511411397,15.0,1,19
25,4.0,19.221315,72.862381,19.261315,72.902381,1900-01-01 12:25:00,1900-01-01 12:30:00,Cloudy,High,motorcycle,Metropolitian,Jewelry,MEDIUM,6.116971669681921,5.0,0,12
29,4.5,13.005801,80.250744,13.115801,80.360744,1900-01-01 18:35:00,1900-01-01 18:50:00,Sunny,Medium,van,Metropolitian,Outdoors,MEDIUM,17.075594401072465,15.0,1,18
27,5.0,26.849596,75.800512,26.879596,75.830512,1900-01-01 20:35:00,1900-01-01 20:40:00,Stormy,Jam,motorcycle,Urban,Cosmetics,HIGH,4.47028648943395,5.0,1,20
35,4.3,21.160522,72.771477,21.250522,72.861477,1900-01-01 23:20:00,1900-01-01 23:30:00,Cloudy,Low,scooter,Metropolitian,Electronics,MEDIUM,13.682044526080338,10.0,0,23
32,4.0,12.934179,77.615797,13.024179,77.705797,1900-01-01 21:20:00,1900-01-01 21:35:00,Windy,Jam,motorcycle,Metropolitian,Cosmetics,HIGH,13.97318265391717,15.0,0,21
23,4.8,18.51421,73.838429,18.62421,73.948429,1900-01-01 23:35:00,1900-01-01 23:45:00,Windy,Low,van,Urban,Jewelry,MEDIUM,16.85361872985407,10.0,0,23
31,4.8,11.022477,76.995667,11.052477,77.025667,1900-01-01 22:35:00,1900-01-01 22:50:00,Sandstorms,Low,motorcycle,Metropolitian,Jewelry,MEDIUM,4.674172124263596,15.0,0,22
36,4.1,21.160437,72.774209,21.210437,72.824209,1900-01-01 22:35:00,1900-01-01 22:40:00,Stormy,Low,motorcycle,Urban,Cosmetics,MEDIUM,7.601616771071131,5.0,0,22
26,4.3,15.51315,73.78346,15.56315,73.83346,1900-01-01 23:25:00,1900-01-01 23:35:00,Sandstorms,Low,motorcycle,Urban,Jewelry,MEDIUM,7.720324413180035,10.0,0,23
38,4.9,15.561295,73.749478,15.601295,73.789478,1900-01-01 13:35:00,1900-01-01 13:40:00,Cloudy,High,scooter,Urban,Shoes,MEDIUM,6.1756362610176,5.0,0,13
32,3.5,0.0,0.0,0.11,0.11,1900-01-01 21:35:00,1900-01-01 21:45:00,Stormy,Jam,scooter,Urban,Grocery,HIGH,17.29786575291325,10.0,0,21
32,4.6,18.563934,73.915367,18.693935,74.045367,1900-01-01 22:35:00,1900-01-01 22:45:00,Cloudy,Low,scooter,Metropolitian,Sports,MEDIUM,19.91468696554527,10.0,0,22
33,4.9,18.55144,73.804855,18.62144,73.874855,1900-01-01 18:55:00,1900-01-01 19:10:00,Sunny,Medium,motorcycle,Metropolitian,Jewelry,MEDIUM,10.724517748045963,15.0,1,18
20,4.7,18.593481,73.785901,18.633481,73.825901,1900-01-01 14:15:00,1900-01-01 14:25:00,Windy,High,scooter,Urban,Toys,MEDIUM,6.127835452843913,10.0,0,14
20,4.8,21.173343,72.792731,21.183343,72.802731,1900-01-01 11:00:00,1900-01-01 11:10:00,Sandstorms,Low,scooter,Metropolitian,Kitchen,LOW,1.5203573134015247,10.0,0,11
35,5.0,17.451976,78.385883,17.471976,78.405883,1900-01-01 09:45:00,1900-01-01 09:55:00,Sunny,Low,scooter,Urban,Clothing,LOW,3.0734537599374083,10.0,1,9
26,4.9,12.972532,77.608179,12.992532,77.628179,1900-01-01 08:40:00,1900-01-01 08:55:00,Stormy,Low,scooter,Metropolitian,Kitchen,MEDIUM,3.10513147754577,15.0,1,8
22,4.8,12.972532,77.608179,13.042532,77.678179,1900-01-01 23:00:00,1900-01-01 23:10:00,Fog,Low,motorcycle,Metropolitian,Books,MEDIUM,10.86742683448041,10.0,0,23
35,4.3,13.064181,80.236442,13.134181,80.306442,1900-01-01 17:25:00,1900-01-01 17:30:00,Cloudy,Medium,motorcycle,Metropolitian,Grocery,MEDIUM,10.865464603780305,5.0,1,17
37,4.7,21.149569,72.772697,21.239569,72.862697,1900-01-01 19:45:00,1900-01-01 19:50:00,Sandstorms,Jam,motorcycle,Metropolitian,Clothing,HIGH,13.682516298591963,5.0,1,19
28,4.6,19.091458,72.827808,19.201458,72.937808,1900-01-01 19:10:00,1900-01-01 19:25:00,Stormy,Jam,scooter,Metropolitian,Cosmetics,HIGH,16.826241648658563,15.0,1,19
37,4.9,22.539129,88.365507,22.559129,88.385507,1900-01-01 10:55:00,1900-01-01 11:00:00,Fog,Low,scooter,Urban,Grocery,LOW,3.0272369309751475,5.0,1,10
23,4.9,19.221315,72.862381,19.281315,72.922381,1900-01-01 21:40:00,1900-01-01 21:45:00,Sunny,Jam,van,Metropolitian,Apparel,HIGH,9.175193844437283,5.0,0,21
27,4.9,12.970324,77.645748,13.030324,77.705748,1900-01-01 19:00:00,1900-01-01 19:15:00,Windy,Medium,scooter,Metropolitian,Snacks,MEDIUM,9.315069177421467,15.0,1,19
37,4.8,13.064181,80.236442,13.104181,80.276442,1900-01-01 16:45:00,1900-01-01 16:55:00,Cloudy,Medium,motorcycle,Urban,Jewelry,MEDIUM,6.209021101535329,10.0,0,16
33,5.0,21.175975,72.795503,21.185975,72.805503,1900-01-01 11:30:00,1900-01-01 11:40:00,Sunny,High,scooter,Metropolitian,Shoes,MEDIUM,1.5203447277394997,10.0,0,11
31,4.9,23.369746,85.33982,23.409746,85.37982,1900-01-01 15:10:00,1900-01-01 15:15:00,Fog,Medium,motorcycle,Metropolitian,Books,MEDIUM,6.037225392444489,5.0,0,15
31,4.8,12.914264,77.6784,13.024264,77.7884,1900-01-01 22:45:00,1900-01-01 22:55:00,Stormy,Low,scooter,Metropolitian,Cosmetics,MEDIUM,17.078665498349924,10.0,0,22
25,5.0,0.0,0.0,0.03,0.03,1900-01-01 22:10:00,1900-01-01 22:25:00,Cloudy,Low,motorcycle,Metropolitian,Home,MEDIUM,4.717601092054723,15.0,0,22
28,4.8,11.003681,76.975525,11.083681,77.055525,1900-01-01 20:45:00,1900-01-01 20:55:00,Sandstorms,Jam,motorcycle,Metropolitian,Kitchen,HIGH,12.464329297636855,10.0,1,20
31,4.7,21.173343,72.792731,21.233343,72.852731,1900-01-01 22:50:00,1900-01-01 23:05:00,Cloudy,Low,motorcycle,Metropolitian,Clothing,MEDIUM,9.12142598198074,15.0,0,22
24,4.7,10.96185,76.971082,11.05185,77.061082,1900-01-01 17:55:00,1900-01-01 18:00:00,Sunny,Medium,motorcycle,Urban,Snacks,MEDIUM,14.02323208308413,5.0,1,17
39,4.6,27.165108,78.015053,27.255108,78.105053,1900-01-01 22:45:00,1900-01-01 23:00:00,Sunny,Low,motorcycle,Metropolitian,Jewelry,MEDIUM,13.392612276663753,15.0,0,22
39,4.2,0.0,0.0,0.08,0.08,1900-01-01 20:35:00,1900-01-01 20:50:00,Fog,Jam,scooter,Semi-Urban,Apparel,HIGH,12.58026782240096,15.0,1,20
32,4.5,26.88842,75.800689,26.89842,75.810689,1900-01-01 09:25:00,1900-01-01 09:40:00,Windy,Low,scooter,Other,Shoes,MEDIUM,1.4899271643867567,15.0,1,9
36,4.7,0.0,0.0,0.06,0.06,1900-01-01 20:15:00,1900-01-01 20:20:00,Cloudy,Jam,motorcycle,Metropolitian,Sports,HIGH,9.435201537430713,5.0,1,20
25,4.8,26.913987,75.752891,26.993987,75.832891,1900-01-01 22:25:00,1900-01-01 22:35:00,Sandstorms,Low,scooter,Urban,Cosmetics,MEDIUM,11.916582838287255,10.0,0,22
33,4.9,12.3085,76.665808,12.3385,76.695808,1900-01-01 21:55:00,1900-01-01 22:00:00,Sunny,Jam,scooter,Metropolitian,Books,LOW,4.663566689152346,5.0,0,21
